AUXID,AUXDESC,
09,09,
11,11,
08,08,
16,16,
21,21,
10,10,
17,17,
23,23,
02,02,
07,07,
18,18,
20,20,
03,03,
01,01,
14,14,
06,06,
00,00,
05,05,
04,04,
19,19,
15,15,
12,12,
22,22,
13,13,
