MSCID,MSCCHART,MSCARTIST,MSCSTATUS,LASTUSERNAME,LASTCHANGEDATE,
301200005504,AMA;AMA;AAA;AAA;,White Owl Red,No Fit,Administrator,2017.07.02 09:29:01,
301200005506,AMA;AMA;AAA;AAA;,Cuba,No Fit,Administrator,2017.07.02 09:45:55,
301200005508,AAA;AAA;,Midnight North,No Fit,Administrator,2017.07.02 09:55:44,
301200005510,AMA;AMA;AAA;AAA;,Clayton Landua,No Fit,Administrator,2017.07.02 09:59:45,
301200005521,AMA;AMA;AAA;AAA;,Greg Shatz,No Fit,Administrator,2017.07.09 10:32:07,
301200005523,AMA;AMA;AAA;AAA;,Twirling Zuccini,No Fit,Administrator,2017.07.09 10:43:10,
301200005525,AMA;AMA;AAA;AAA;,Sherman Holmes,No Fit,Administrator,2017.07.09 10:46:23,
301200005527,AMA;AMA;AAA;AAA;,Wreck Loose,No Fit,Administrator,2017.07.09 10:58:30,
301200005528,AMA;AMA;AAA;AAA;,Flatland Tourists,No Fit,Administrator,2017.07.09 11:04:02,
301200005532,AMA;AMA;AAA;AAA;,Hymn River Suite,No Fit,Administrator,2017.07.16 09:17:28,
301200005534,AAA;AAA;,Shotgun Waltz,No Fit,Administrator,2017.07.16 09:20:34,
301200005535,AMA;AMA;AAA;AAA;,Bob Cheevers,No Fit,Administrator,2017.07.16 09:30:30,
301200005537,AMA;AMA;AAA;AAA;,Ruby and the Rogues,No Fit,Administrator,2017.07.16 09:36:45,
301200005539,AMA;AMA;AAA;AAA;,Ben Rabb,No Fit,Administrator,2017.07.16 10:30:51,
301200005555,AMA;AMA;AAA;AAA;,Jim Patton,No Fit,Administrator,2017.07.23 18:36:35,
301200005556,AMA;AMA;AAA;AAA;,Craig Cummings,No Fit,Administrator,2017.07.23 18:49:04,
301200005557,AMA;AMA;AAA;AAA;,Nooky Jones,No Fit,Administrator,2017.07.23 18:51:14,
301200005558,AMA;AMA;AAA;AAA;,Tyler Childress,No Fit,Administrator,2017.07.23 18:53:27,
301200005564,AAA;AAA;,Wendy Webb,No Fit,Administrator,2017.07.30 09:26:43,
301200005565,AMA;AMA;AAA;AAA;,Pomergranite,No Fit,Administrator,2017.07.30 09:29:39,
301200005566,AMA;AMA;AAA;AAA;,Lukas Nelson,No Fit,Administrator,2017.07.30 09:31:29,
