MSCID,MSCCHART,MSCARTIST,MSCSTATUS,LASTUSERNAME,LASTCHANGEDATE,
301200005832,AMA;AMA;AAA;AAA;,Judy Nazemetz,No Fit,Administrator,2017.10.01 12:44:47,
301200005835,AMA;AMA;AAA;AAA;,Clearing,No Fit,Administrator,2017.10.01 12:53:36,
301200005837,AMA;AMA;AAA;AAA;,Dawson Rutlege,No Fit,Administrator,2017.10.01 12:56:56,
301200005839,AMA;AMA;AAA;AAA;,Slow Burning Car,No Fit,Administrator,2017.10.01 12:59:35,
301200005841,AMA;AMA;AAA;AAA;,Dinosaur Eyelids,No Fit,Administrator,2017.10.01 13:03:43,
301200005869,AMA;AMA;AAA;AAA;,Erin Harpe,No Fit,Administrator,2017.10.08 14:53:25,
301200005871,AMA;AMA;AAA;AAA;,Albert Castiglia,No Fit,Administrator,2017.10.08 14:57:23,
301200005873,AMA;AMA;AAA;AAA;,Ben Brookes,No Fit,Administrator,2017.10.08 15:21:31,
301200005875,AMA;AMA;AAA;AAA;,Joe Olnick,No Fit instrumental,Administrator,2017.10.08 15:25:13,
301200005877,AAA;AAA;,Jeff Rymes,No Fit,Administrator,2017.10.08 15:39:03,
301200005879,AMA;AMA;AAA;AAA;,Sultans of String,No Christmas Music,Administrator,2017.10.08 15:41:48,
301200005881,AMA;AMA;AAA;AAA;,The Dark Woods,No Fit,Administrator,2017.10.08 15:45:42,
301200005885,AMA;AMA;AAA;AAA;,Morgan Saint,No Fit,Administrator,2017.10.15 11:24:05,
301200005886,AMA;AMA;AAA;AAA;,Nora Struthers,No Fit,Administrator,2017.10.15 11:33:34,
301200005887,AMA;AMA;AAA;AAA;,Cub Sport,No Fit,Administrator,2017.10.15 11:33:54,
301200005888,AMA;AMA;AAA;AAA;,Shook Twins,No Fit,Administrator,2017.10.15 11:37:05,
301200005889,AMA;AMA;AAA;AAA;,Ren Geisick,No Fit,Administrator,2017.10.15 11:40:17,
301200005890,AMA;AMA;AAA;AAA;,C West,No Fit,Administrator,2017.10.15 11:44:49,
301200005891,AMA;AMA;AAA;AAA;,Raspers Progres,No Fit,Administrator,2017.10.15 11:54:07,
301200005892,AMA;AMA;AAA;AAA;,Floods on Mars,No Fit,Administrator,2017.10.15 11:58:31,
301200005893,AMA;AMA;AAA;AAA;,Kevin Fisher,No Fit,Administrator,2017.10.15 12:00:37,
301200005894,AMA;AMA;AAA;AAA;,Margo Price,No Fit,Administrator,2017.10.15 12:07:00,
301200005895,AMA;AMA;AAA;AAA;,Kris Kristofferson,No FiT,Administrator,2017.10.15 12:11:34,
301200005896,AMA;AMA;AAA;AAA;,Jow Henry,No Fit,Administrator,2017.10.15 12:13:13,
301200005908,AMA;AMA;AAA;AAA;,Clue Bagger,No Fit,Administrator,2017.10.22 13:11:56,
301200005909,AMA;AMA;AAA;AAA;,Marius Holth,No Fit,Administrator,2017.10.22 13:24:50,
301200005910,AMA;AMA;AAA;AAA;,F. C. Wescott,No Fit,Administrator,2017.10.22 13:29:13,
301200005911,AMA;AMA;AAA;AAA;,Billy Burnette,No Fit,Administrator,2017.10.22 13:30:17,
301200005912,AMA;AMA;AAA;AAA;,Jroddy Walston,No Fit,Administrator,2017.10.22 13:32:52,
301200005913,AMA;AMA;AAA;AAA;,King leg,No Fit,Administrator,2017.10.22 13:36:39,
301200005914,AMA;AMA;AAA;AAA;,Erin Coburn,No Fit,Administrator,2017.10.22 13:48:29,
301200005915,AMA;AMA;AAA;AAA;,Josh Tarek,No Fit,Administrator,2017.10.22 13:50:02,
301200005916,AMA;AMA;AAA;AAA;,Black Stone Cherry,No Fit,Administrator,2017.10.22 13:53:26,
301200005917,AMA;AMA;AAA;AAA;,Dori Freeman,No Fit,Administrator,2017.10.22 13:57:57,
301200005918,AMA;AMA;AAA;AAA;,Hurricane Like Me,No Fit,Administrator,2017.10.22 13:59:56,
301200005919,AMA;AMA;AAA;AAA;,Tracy G Group,No Fit,Administrator,2017.10.22 14:01:34,
301200005920,AMA;AMA;AAA;AAA;,Dust of Days,No Fit,Administrator,2017.10.22 14:03:53,
301200005921,AMA;AMA;AAA;AAA;,Johnem,Ni Fit,Administrator,2017.10.22 14:04:14,
301200005922,AMA;AMA;AAA;AAA;,Brent Cobb,No Fit,Administrator,2017.10.22 14:05:25,
301200005923,AMA;AMA;AAA;AAA;,Tommy Juntz,no Fit,Administrator,2017.10.22 14:07:49,
301200005924,AMA;AMA;AAA;AAA;,Summer Brooke,No Fit,Administrator,2017.10.22 14:08:54,
301200005925,AMA;AMA;AAA;AAA;,Katie Schecter,No Fit,Administrator,2017.10.22 14:10:23,
301200005926,AMA;AMA;AAA;AAA;,Sounding Arrow,No Fit,Administrator,2017.10.22 14:11:35,
301200005927,AMA;AMA;AAA;AAA;,Re-Tros,No Fit,Administrator,2017.10.22 14:12:50,
301200005928,AMA;AMA;AAA;AAA;,Get Ahead,No Fit,Administrator,2017.10.22 14:14:20,
301200005933,AMA;AMA;AAA;AAA;,Eilen Jewell,No Fit,Administrator,2017.10.29 11:22:26,
301200005934,AMA;AMA;AAA;AAA;,David Rawlings,No Fit,Administrator,2017.10.29 11:41:07,
301200005935,AMA;AMA;AAA;AAA;,Marble Party,No Fit,Administrator,2017.10.29 11:45:05,
301200005936,AMA;AMA;AAA;AAA;,Black River Revue,No Fit,Administrator,2017.10.29 11:49:22,
301200005937,AMA;AMA;AAA;AAA;,Wolves of Cherbnobyl,No Fit,Administrator,2017.10.29 11:51:05,
301200005938,AMA;AMA;AAA;AAA;,Wailin Jennys,No Fit,Administrator,2017.10.29 11:55:37,
301200005939,AMA;AMA;AAA;AAA;,Gill Landry,No Fit,Administrator,2017.10.29 11:56:56,
301200005940,AAA;AAA;,Jeffry Martin,No Fit,Administrator,2017.10.29 11:58:36,
301200005941,AMA;AMA;AAA;AAA;,Nathaniel Rateliff,No Fit,Administrator,2017.10.29 12:02:34,
301200005942,AMA;AMA;AAA;AAA;,Samatha Fish,No Fit,Administrator,2017.10.29 12:03:43,
301200005943,AMA;AMA;AAA;AAA;,Mitch Woods,No Fit,Administrator,2017.10.29 12:08:20,
301200005964,AMA;AMA;AAA;AAA;,The NED,No Fit,Administrator,2017.11.05 15:38:37,
301200005967,AMA;AMA;AAA;AAA;,Elliot Brood,No Fit,Administrator,2017.11.05 16:48:02,
301200005969,AMA;AMA;AAA;AAA;,Pageant Dove,No Fit,Administrator,2017.11.05 17:00:13,
301200005971,AMA;AMA;AAA;AAA;,The Americans,No Fit,Administrator,2017.11.05 17:39:15,
301200005973,AMA;AMA;AAA;AAA;,Wilson Banjo Co,No Fit,Administrator,2017.11.05 17:45:42,
301200005975,AMA;AMA;AAA;AAA;,Barney Bentall,No Fit,Administrator,2017.11.05 17:49:27,
301200005992,AMA;AMA;AAA;AAA;,RL Boyce,No Fit,Administrator,2017.11.12 10:53:40,
301200005994,AMA;AMA;AAA;AAA;,Chris Cuddy,No Fit,Administrator,2017.11.12 11:03:23,
301200005997,AMA;AMA;AAA;AAA;,Blue Sky Blue,No Fit,Administrator,2017.11.12 11:16:19,
301200005998,AMA;AMA;AAA;AAA;,Broke Royals,No Fit,Administrator,2017.11.12 11:20:13,
301200006000,AMA;AMA;AAA;AAA;,Brother Roy,No Fit,Administrator,2017.11.12 11:27:39,
301200006002,AMA;AMA;AAA;AAA;,Thot Platter,No Fit,Administrator,2017.11.12 11:29:47,
301200006004,AMA;AMA;AAA;AAA;,Cody Finks,No Fit,Administrator,2017.11.12 11:35:27,
301200006006,AMA;AMA;AAA;AAA;,Sciatic Nerve,No Fit,Administrator,2017.11.12 11:39:59,
301200006014,AMA;AMA;AAA;AAA;,Schisms,No Fit,Administrator,2017.11.26 10:09:41,
301200006017,AMA;AMA;AAA;AAA;,Animal Years,No Fit,Administrator,2017.11.26 10:21:35,
301200006019,AMA;AMA;AAA;AAA;,Stonerpop,No Fit,Administrator,2017.11.26 10:24:30,
301200006022,AMA;AMA;AAA;AAA;,Ponder,No Fit,Administrator,2017.11.26 10:31:36,
301200006023,AMA;AMA;AAA;AAA;,Ben Brookes,No Fit,Administrator,2017.11.26 10:35:07,
301200006025,AMA;AMA;AAA;AAA;,Elizabeth Erin Kemler,No Fit,Administrator,2017.11.26 10:39:21,
301200006027,AMA;AMA;AAA;AAA;,Joshua Ketchmark,No Fit,Administrator,2017.11.26 10:42:21,
301200006029,AMA;AMA;AAA;AAA;,Black Blue Birds,No Fit,Administrator,2017.11.26 10:45:29,
301200006031,AMA;AMA;AAA;AAA;,Rick Krueger,No Fit,Administrator,2017.11.26 10:50:52,
301200005944,AMA;AMA;AAA;AAA;,Edan Archer,No Fit,Administrator,2017.10.29 12:10:33,
301200005965,AMA;AMA;AAA;AAA;,Antherius,No Fit,Administrator,2017.11.05 15:40:48,
301200005966,AMA;AMA;AAA;AAA;,Chuck McDermott,No Fit,Administrator,2017.11.05 15:54:25,
301200005968,AMA;AMA;AAA;AAA;,Big Takeover,No Fit,Administrator,2017.11.05 16:58:13,
301200005970,AMA;AMA;AAA;AAA;,Blue Light Bandits,No Fit,Administrator,2017.11.05 17:03:17,
301200005972,AMA;AMA;AAA;AAA;,Remmington Ryde,No Fit,Administrator,2017.11.05 17:45:13,
301200005974,AMA;AMA;AAA;AAA;,Brad Hudson,No Fit,Administrator,2017.11.05 17:46:41,
301200005976,AMA;AMA;AAA;AAA;,Molly Tutle,No Fit,Administrator,2017.11.05 17:49:44,
301200005993,AMA;AMA;AAA;AAA;,Soja,No Fit,Administrator,2017.11.12 10:56:29,
301200005995,AMA;AMA;AAA;AAA;,Shook Twins,No Fit,Administrator,2017.11.12 11:12:16,
301200005996,AMA;AMA;AAA;AAA;,Wilco,No Fit,Administrator,2017.11.12 11:14:18,
301200005999,AMA;AMA;AAA;AAA;,Chris Murphy,No Fit,Administrator,2017.11.12 11:21:40,
301200006001,AMA;AMA;AAA;AAA;,Third of Never,No Fit,Administrator,2017.11.12 11:28:24,
301200006003,AMA;AMA;AAA;AAA;,Edan Archer,No Fit,Administrator,2017.11.12 11:33:30,
301200006005,AMA;AMA;AAA;AAA;,Michelle Wake,No Fit,Administrator,2017.11.12 11:36:58,
301200006015,AMA;AMA;AAA;AAA;,Beaver Road,No Fit,Administrator,2017.11.26 10:11:19,
301200006016,AMA;AMA;AAA;AAA;,Mama Earth,No Fit,Administrator,2017.11.26 10:19:16,
301200006018,AMA;AMA;AAA;AAA;,Sarah Streitz,No Fit,Administrator,2017.11.26 10:23:37,
301200006020,AMA;AMA;AAA;AAA;,Cherie Brennan,No Fit,Administrator,2017.11.26 10:28:13,
301200006021,AMA;AMA;AAA;AAA;,Eddie Daitel,No Fit,Administrator,2017.11.26 10:30:32,
301200006024,AMA;AMA;AAA;AAA;,John Lee Hooker,No Fit,Administrator,2017.11.26 10:37:38,
301200006026,AMA;AMA;AAA;AAA;,Dominic Cheala,No Fit,Administrator,2017.11.26 10:40:29,
301200006028,AMA;AMA;AAA;AAA;,Bless These Sounds Under the City,No Fit,Administrator,2017.11.26 10:44:19,
301200006030,AMA;AMA;AAA;AAA;,Super Ape,No Fit,Administrator,2017.11.26 10:48:01,
301200006032,AMA;AMA;AAA;AAA;,Bette Smith,No Fit,Administrator,2017.11.26 10:53:36,
301200006036,AMA;AMA;AAA;AAA;,AQUILO,No Fit,Administrator,2017.12.03 10:45:03,
301200006037,AMA;AMA;AAA;AAA;,Nick Brennan,No Fit,Administrator,2017.12.03 10:51:42,
301200006038,AMA;AMA;AAA;AAA;,Bob Sinclair,No Fit,Administrator,2017.12.03 10:52:54,
301200006039,AMA;AMA;AAA;AAA;,Chris Stampleton,No Fit,Administrator,2017.12.03 10:54:39,
301200006040,AMA;AMA;AAA;AAA;,Cherrie Brennan,No Fit,Administrator,2017.12.03 10:57:40,
301200006041,AMA;AMA;AAA;AAA;,Ryan Sims,No Fit,Administrator,2017.12.03 10:58:09,
301200006043,AMA;AMA;,Christine Rosander,No Fit,Administrator,2018.01.07 10:36:37,
301200006044,AMA;AMA;,Strange Angels,No Fit,Administrator,2018.01.07 10:39:30,
301200006045,AMA;AMA;,Darling West,No Fit,Administrator,2018.01.07 10:41:06,
301200006046,AMA;AMA;,Dusty Rust,No Fit,Administrator,2018.01.07 10:42:37,
301200006047,AMA;AMA;,john Gorka,No Fit,Administrator,2018.01.07 10:52:27,
301200006048,AMA;AMA;,Amanda Pruit,No Fit,Administrator,2018.01.07 10:54:11,
301200006049,AMA;AMA;,True Marker,No Fit,Administrator,2018.01.07 10:55:24,
301200006050,AAA;AAA;,Leah Cspelle,No Fit,Administrator,2018.01.07 11:06:20,
301200006051,AAA;AAA;,Random Hero,No Fit,Administrator,2018.01.07 11:06:39,
301200006052,AAA;AAA;,Primitive Race,No Fit,Administrator,2018.01.07 11:08:20,
301200006053,AAA;AAA;,Curis Salgado,No Fit,Administrator,2018.01.07 11:17:01,
301200006054,AAA;AAA;,Beyone the Grey,No Fit,Administrator,2018.01.07 11:19:39,
301200006055,AAA;AAA;,Tim Lancaster,No Fit,Administrator,2018.01.07 11:20:58,
301200006056,AAA;AAA;,Ben Miller Band,No Fit,Administrator,2018.01.07 11:25:09,
301200006057,AMA;AMA;,Bob livingston,No Fit,Administrator,2018.01.07 11:27:03,
301200006058,AMA;AMA;,Ronnie Fauss,No Fit,Administrator,2018.01.07 11:27:39,
301200006059,AMA;AMA;,Tara O Grady,No Fit,Administrator,2018.01.07 11:28:47,
301200006060,AMA;AMA;,Nashville Magic,No Fit,Administrator,2018.01.07 11:34:28,
301200006076,AMA;AMA;AAA;AAA;,Dusty Rust,No Fit,Administrator,2018.01.14 10:09:09,
301200006077,AMA;AMA;AAA;AAA;,Billy Jeter,No Fit,Administrator,2018.01.14 10:34:50,
301200006078,AMA;AMA;AAA;AAA;,Aaron Gleason,No Fit,Administrator,2018.01.14 10:42:37,
301200006079,AMA;AMA;AAA;AAA;,Mark Erelli,No Fit,Administrator,2018.01.14 10:48:54,
301200006080,AMA;AMA;AAA;AAA;,Steep Canyon Rangers,No Fit,Administrator,2018.01.14 10:51:11,
301200006081,AMA;AMA;AAA;AAA;,Lisa Morales,No Fit,Administrator,2018.01.14 10:54:14,
301200006082,AMA;AMA;AAA;AAA;,Mt Joy,No Fit,Administrator,2018.01.14 10:56:09,
301200006083,AMA;AMA;AAA;AAA;,karney,No Fit,Administrator,2018.01.14 11:04:46,
301200006084,AMA;AMA;AAA;AAA;,Mary Gauthier,No Fit,Administrator,2018.01.14 11:06:59,
301200006085,AMA;AMA;AAA;AAA;,Laila Biali,No Fit,Administrator,2018.01.14 11:11:01,
301200006086,AMA;AMA;AAA;AAA;,David Myles,No Fit,Administrator,2018.01.14 11:12:45,
301200006087,AMA;AMA;AAA;AAA;,Blue Music,No Fit,Administrator,2018.01.14 11:13:56,
301200006088,AMA;AMA;AAA;AAA;,FY5,No Fit,Administrator,2018.01.14 11:16:12,
301200006089,AMA;AMA;AAA;AAA;,Nancy Dillon,No Fit,Administrator,2018.01.14 11:18:28,
301200006090,AMA;AMA;AAA;AAA;,Mary Battiata,No Fit,Administrator,2018.01.14 11:20:05,
301200006091,AMA;AMA;AAA;AAA;,Becca Mancari,No Fit,Administrator,2018.01.14 11:25:48,
301200006092,AMA;AMA;AAA;AAA;,Jacob Thomas Jr,No Fit,Administrator,2018.01.14 11:33:25,
301200006093,AMA;AMA;AAA;AAA;,Jarel Portman,No Fit,Administrator,2018.01.14 11:37:06,
301200006094,AMA;AMA;AAA;AAA;,Happy Curmudgeons,No Fit,Administrator,2018.01.14 11:40:16,
301200006095,AMA;AMA;AAA;AAA;,Private Signal,No Fit,Administrator,2018.01.14 11:41:46,
301200006096,AMA;AMA;AAA;AAA;,Shatterscape,No Fit,Administrator,2018.01.14 11:42:52,
301200006097,AMA;AMA;AAA;AAA;,Eleanot McEvoy,No Fit,Administrator,2018.01.14 11:49:37,
301200006098,AMA;AMA;AAA;AAA;,American Folk,No Fit,Administrator,2018.01.14 11:50:53,
301200006100,AMA;AMA;AAA;AAA;,Referee Isaacs,No Fit,Administrator,2018.01.14 11:54:40,
301200006099,AMA;AMA;AAA;AAA;,Shake Russell,No Fit,Administrator,2018.01.14 11:54:16,
